公司名称,薪资,工作岗位,要求工作经验,要求学历,公司地址,公司人数,标签1,标签2,标签3,招聘链接
斑马网络,15-30K·15薪,数据科学(J10587),经验不限,本科,成都·武侯区·大源,20-99人,Python,SQL,数据分析,https://www.zhipin.com/job_detail/359ce7242e900d261XZ70926EldQ.html?lid=89AapUgEF39.search.256&securityId=E61M2qpCB8chK-11lX3PvGWZolpx3cT0zRTFQUT49FfINKfIFyYu5W65hUZmSsfqbvu06cyM4S35RFGvkt0N8ctSG4Wquyt4EbC7yMRCYAZCpj-X
世纪购,10-15K,高级产品经理（数据方向）,3-5年,本科,成都·武侯区·新会展中心,20-99人,产品设计,数据分析,产品运营,https://www.zhipin.com/job_detail/f012d339ce76b2921n1-29q_FVZV.html?lid=89AapUgEF39.search.257&securityId=kXQ6q2pFyh9Ha-W1RG_cbe8WpHeb4zpCuvHiHA6FU7wuQVbCIYbWFVzHxntbL_SZd3pUudK-cXvUM9hQL8wsX3vPJ85vv8p-H_n1nVSqUg35LHakshE~
蚂蚁金服,20-40K,数据开发,3-5年,本科,成都·武侯区·银泰城,20-99人,数据分析,数据库,Hive,https://www.zhipin.com/job_detail/77ab005db5b7d4911Xx_2dm9FVI~.html?lid=89AapUgEF39.search.258&securityId=dtm25s0gKj3ku-a1nHUpWqXbzocYvVzv0SRMm5wKiUf9gMsnPAAYZHlaC5FmwN5au-T4BjQm5GrPYFo6_rbba4Sw9Ajj1tg2RS8_gb0ulRCSdQ~~
今日头条,35-50K·15薪,数据产品经理-生活服务,5-10年,本科,成都·武侯区·新会展中心,20-99人,数据分析,SQL,B端产品,https://www.zhipin.com/job_detail/dc3160aba4fda3ed1Xd639W5GFtV.html?lid=89AapUgEF39.search.259&securityId=GQYVSGr0n6SJF-11Tj-WRMK4zX0OeMGYBt931_himzvyE2ScTpD37Q-xqhMIfUrTMpiTsHw2Yt4vRxYlvfyer9Kcvvw1xuZ_Ulmo6pR2QbRLu_8~
久远银海,10-15K·13薪,大数据产品经理,3-5年,本科,成都·锦江区·柳江,20-99人,大数据产品,需求分析,产品设计,https://www.zhipin.com/job_detail/cc971507ef6d371f1XV72tu7E1tV.html?lid=89AapUgEF39.search.260&securityId=sq0N8Bx7j5kXz-N1bWa7yML2PzakG6f68hq0wf2hZE7tsdv02uaD7o6Ig7UfTvgRhzNujgh7tj0wXDwwsg197W3bypDpV5AQheKZdrSorfilRw4Izw~~
美团,30-50K·15薪,高级数据产品经理,5-10年,本科,成都·武侯区·铁像寺,20-99人,市场调研,需求分析,产品设计,https://www.zhipin.com/job_detail/d0d43186ee2c497b1XR72N28FFZY.html?lid=89AapUgEF39.search.261&securityId=AJp9Fr5VTdKgk-O1Br4sYTAnQLqBWquEdDJ2ETejpK7XsPynqTupZe_51YhcGqO1XtiBfh87ZokqlclOt1uI-38-Zz_KPOt1ermzFrfDFxvRXLUXiD8~
观想科技,12-20K,DBA数据库工程师,5-10年,本科,成都·双流区·华阳,20-99人,DBA,Oracle,SQL,https://www.zhipin.com/job_detail/c44cd6a0ae4780410HFy0tu7E1o~.html?lid=89AapUgEF39.search.262&securityId=jEAjIHBj4EoEy-M1sxkm8Rcx-OzgWmW0eVCFGTkMIBwf5EIZM4v3nKyAxZiTh2zC02PsV9AWrezZNFrg6l3I_Fo4ml7YonvzelGqUe8vnYF5uuxXWA~~
运荔枝科,15-20K,高级数据产品经理,3-5年,本科,成都·锦江区·柳江,20-99人,数据产品,大数据产品,需求分析,https://www.zhipin.com/job_detail/d475136a2036c8af0Hx_2Nq4E1c~.html?lid=89AapUgEF39.search.263&securityId=fMt8z93KuA3sj-G1JxQUiginwAqP6GTPGj1K4BoiKxad9FYgwwq8y9y--cf6uo1e_g-Fs8BsCPLBMSaDcjzDg1wYSILnhyIC3x4ckULvy6nUvb6K4w~~
任小满,10-15K,数据运营产品经理,3-5年,本科,成都·武侯区·新会展中心,20-99人,产品设计,数据分析,数据运营,https://www.zhipin.com/job_detail/b3c64425e60623c31XV_2tq5EVJQ.html?lid=89AapUgEF39.search.264&securityId=e9MvyEGoMEvcI-Q1CtqGdla8b2mCWVYv_Q0Ffk-5vnAGao6mZxV3r8BBbQBmLrkhBohmqmz8wGdJ4jUIiTLxlItq0imwUkFeGHXjL6bGyX8rgXs0EUk~
京东集团,20-40K·14薪,数据挖掘工程师,3-5年,本科,成都·武侯区·机投,20-99人,数据挖掘,数据分析,Python,https://www.zhipin.com/job_detail/16d14c51f1bd2d061nR609u5FFZX.html?lid=89AapUgEF39.search.265&securityId=nyYWJxOmShaoM-X1BdFb2vRxR7v3g0cNL7AoT9D0Uf0LIMUzD2oylOkjGisSU9R-PeFPFbcoQ9zeQhGR-zBh89eHIVCnqYd7l7SVVXpk5wnay5U~
